,Reaction,H2O,OH,H,H2,H2O2,O,HO2,O2,M
R1,H2O+M<>H+OH+M,-1,1,1,0,0,0,0,0,0
R-1,rev,1,-1,-1,0,0,0,0,0,0
R2,OH+M<>O+H+M,0,-1,1,0,0,1,0,0,0
R-2,rev,0,1,-1,0,0,-1,0,0,0
R3,O+O+M<>O2+M,0,0,0,0,0,-2,0,1,0
R-3,rev,0,0,0,0,0,2,0,-1,0
R4,H+O2<>O+OH,0,1,-1,0,0,1,0,-1,0
R-4,rev,0,-1,1,0,0,-1,0,1,0
R5,H+O2+M<>HO2+M,0,0,-1,0,0,0,1,-1,0
R-5,rev,0,0,1,0,0,0,-1,1,0
R6,O+H2O<>OH+OH,-1,2,0,0,0,-1,0,0,0
R-6,rev,1,-2,0,0,0,1,0,0,0
R7,HO2+H<>H2+O2,0,0,-1,1,0,0,-1,1,0
R-7,rev,0,0,1,-1,0,0,1,-1,0
R8,HO2+H<>OH+OH,0,2,-1,0,0,0,-1,0,0
R-8,rev,0,-2,1,0,0,0,1,0,0
R9,HO2+O<>OH+O2,0,1,0,0,0,-1,-1,1,0
R-9,rev,0,-1,0,0,0,1,1,-1,0
R10,HO2+OH<>H2O+O2,1,-1,0,0,0,0,-1,1,0
R-10,rev,-1,1,0,0,0,0,1,-1,0
R11,H2+M<>H+H+M,0,0,2,-1,0,0,0,0,0
R-11,rev,0,0,-2,1,0,0,0,0,0
R12,O+H2<>H+OH,0,1,1,-1,0,-1,0,0,0
R-12,rev,0,-1,-1,1,0,1,0,0,0
R13,OH+H2<>H+H2O,1,-1,1,-1,0,0,0,0,0
R-13,rev,-1,1,-1,1,0,0,0,0,0
R14,H2O2+O2<>HO2+HO2,0,0,0,0,-1,0,2,-1,0
R-14,rev,0,0,0,0,1,0,-2,1,0
R15,H2O2+M<>OH+OH+M,0,2,0,0,-1,0,0,0,0
R-15,rev,0,-2,0,0,1,0,0,0,0
R16,H2O2+H<>H2O+OH,1,1,-1,0,-1,0,0,0,0
R-16,rev,-1,-1,1,0,1,0,0,0,0
R17,H2O2+H<>H2+HO2,0,0,-1,1,-1,0,1,0,0
R-17,rev,0,0,1,-1,1,0,-1,0,0
R18,H2O2+O<>OH+HO2,0,1,0,0,-1,-1,1,0,0
R-18,rev,0,-1,0,0,1,1,-1,0,0
R19,H2O2+OH<>H2O+HO2,1,-1,0,0,-1,0,1,0,0
R-19,rev,-1,1,0,0,1,0,-1,0,0